name,review,rating
부탄츄 신촌점,너무맛있어요!! 1번 추천!! 그리고 직원분들도 너무 친절하세요^^,5
부탄츄 신촌점,신촌점이 최애에요!@@,5
부탄츄 신촌점,라멘맛이 이런거라면 ㅎ,3
부탄츄 신촌점,나름 맛있는 집. 특히 젠모리로 시켜먹어야 진짜다. 가끔 나오는 한정메뉴는 나랑은 별로 안맞는듯,4
부탄츄 신촌점,라멘 맛집!,5
부탄츄 신촌점,미소라멘 짱맛,5
부탄츄 신촌점,아주친절하시고 맛있습니다만..냄새에 민감하신 분들은 신중히 오셔야할듯싶어요!,4
부탄츄 신촌점,겨울 한정 메뉴 미소라멘을 먹었는데 맛났어요!,5
부탄츄 신촌점,라멘 맛있어요 만두는 생강맛이 심해요,3.5
부탄츄 신촌점,직원분도 친절하시고 음식도 맛있었어요,5
부탄츄 신촌점,맛있다,4
부탄츄 신촌점,평범했어요,4
부탄츄 신촌점,언제나 진한국물의 부탄츄,5
부탄츄 신촌점,양도 엄청많고 맛도 괜찮아요,4.5
부탄츄 신촌점,엄청 맛있었대요 면도 꼬들 간도 적당ㅎㅎ 일본온기분이예요ㅎㅎ,5
부탄츄 신촌점,굿,4
부탄츄 신촌점,맛있고 친절해요~,5
부탄츄 신촌점,주문누락..너무하심 음식은 맛나요,3
부탄츄 신촌점,좋아요,3.5
부탄츄 신촌점,좀 짜요,3
부탄츄 신촌점,깊은 국물의 짱맛 일본라멘,5
부탄츄 신촌점,맛있는데 좀 더 친절했음 좋겠어요. 전에는 입구에 들어서자마자 활기가 느껴졌는데 지금은 엄청 쳐지는 분위기.,2
부탄츄 신촌점,정말 오랫만에 왔는데 옛날처럼 활기차고 친절한 그런 느낌은 없어 아쉽네요.,4
부탄츄 신촌점,완전짜고 맛없고 주문도 잘못나오고...,0.5
부탄츄 신촌점,간만에 먹는 일본 라멘.. 맛있어요. 저렴하게 세트도 먹을수 있어 더욱 만족스러운,4
부탄츄 신촌점,교자 너무 맛있어요!!!ㅠ,4.5
부탄츄 신촌점,ㅇㅇㅇ,3
부탄츄 신촌점,역시 부탄츄는 아묻따 돈코츠라멘이쥬,5
부탄츄 신촌점,맛있고 리필되서 좋아요,4.5
부탄츄 신촌점,친절하고 정말 맛있어요!!!,5
부탄츄 신촌점,맛있어요,3.5
부탄츄 신촌점,맛있고 직원분들도 넘 친절했어요 ㅎㅎ또 갈게요!,5
부탄츄 신촌점,마카롱~,4.5
부탄츄 신촌점,라멘은 나쁘지 않은데 매장에서 꼬릿한 냄새가 나고 바닥이 끈적거려서 ...,2.5
부탄츄 신촌점,푸짐하고 좋아요ㅎㅎ,4.5
부탄츄 신촌점,부탄츄 언제나 맛있어요!!!,4
부탄츄 신촌점,마제소바 먹었어요 맛있어요 부추랑 양파가 큼직,5
부탄츄 신촌점,맛이있군요 . 하지만 좀 느끼하군요.,4
부탄츄 신촌점,맛있었어요ㅎㅎ,5
부탄츄 신촌점,맛잇어요,5
부탄츄 신촌점,느끼해서 완뚝 불가...,3
부탄츄 신촌점,혼밥하기좋은곳입니다.,5
부탄츄 신촌점,들어가서 왼쪽 끝으로 안내를 받아서 앉았습니다 아직 음식은 나오지 않았고 점심시간은 많이 지나가서 그런지 저희가 들어가고 몇몇 테이블에 자리가 있었습니다 그런데 그 쪽 자리가 위에 바람이 새서 그런지 많이 춥더라고요 그래서 직원분께 말씀드렸더니 이거 치워드리고 바꿔드린다고 했는데 갑자기 저희 음식 나오니까 음식 곧 나오니까 여기서 드시면 안되냐고하고 그리고 갑자기 원래는 자리 이 동이 안된다 하시고 직원분이 주방쪽 눈치를 엄청 보더라고요 진심 개추워서 음식도 그냥 다 식은 느낌이고 맛있었는데 기분 나빠서 그냥 저냥 이였네요,0.5
부탄츄 신촌점,양많고 맛있어요! 토요일 오후 2시인데도 사람이 많네용 직원분들도 다 친절하세요 :)!!,5
부탄츄 신촌점,쏘쏘,3.5
부탄츄 신촌점,양도 푸짐하고 취향맞게 선택해서 먹는게 너무 좋습니다! 직원분들도 친절하시고 뜨뜻한 국물 생각날때 마다 가야겠네요~,5
부탄츄 신촌점,부탄츄는 신촌점이 가장 기복 없이 좋은 것 같다.,5
부탄츄 신촌점,찐 일본인이 운영하는 라멘집! 가격도 착하고 맛있어요~~~~,5
부탄츄 신촌점,너무 맛있어요!!! 기다릴만합니다,5
부탄츄 신촌점,홍대 본점이 더 맛있습니당,4
부탄츄 신촌점,약간 짜긴하지만 양도 많고 맛있어요!,4.5
부탄츄 신촌점,맛있어요 강추!,5
부탄츄 신촌점,방역 꼼꼼히하시면서도 맛은 그대로~! 맛있는 라멘집이에요 또먹고싶당,5
부탄츄 신촌점,맛있지만 대기가 길어요. 바 테이블에 너무 다닥다닥 앉히고 가림판이 없어요.,2.5
부탄츄 신촌점,좀 짜지만 맛있어요,4
부탄츄 신촌점,일본라멘 엄청 좋아하는데 여긴 첨 가봤어요 직원분들은 다 친절하세요 근데 제가 생각하는 라멘과는 거리가 멀었어요 ㅠㅠ 제일 잘 나가는 메뉴를 시켰는데 아마 소유 였던거 같아요 막 고기기름덩어리 같은게 면리랑 붙어서 섞여있었고 먼가 걸쭉한 느낌이 났어요 원래 그런 라멘 인지는 모르겠지만 ㅠㅠ 저는 다시는 방문 안 할거 같아요 와 미쳤다 맛있다라는 느낌은 못받았지만 직원분들은 친절해요,2.5
부탄츄 신촌점,양도 많고 맛있어요!!! 일본 라면 땡기는 날에 추천!,4.5
부탄츄 신촌점,직원들도 친절하고 라멘이 맛있어요. 보기와는 다르게 양이 많네요.,5
부탄츄 신촌점,계절메뉴 또 내주세요,5
부탄츄 신촌점,"분명 예전에는 개존맛 나만 알고싶은 라멘 맛집이었는데 점점 맛이 변하는 느낌. 오늘 갔을 땐 날파리 한마리가 계속 라멘으로 와서 먹으면서 계속 날파리 쳐냄. 결국 눈치못챈사이에 날파리는 덜어놓은 김치에 앉아버렸다.....ㅠ 새 그릇 꺼내기도 애매해서 그냥 냅둠,, 얼마전엔 담백한맛 먹고 오늘은 진한맛 먹었는데 두 번 다 느끼하기만 하고 별로였음. 오늘은 먹고나서 속도 불편해서 다신 안갈 것 같음.",2
부탄츄 신촌점,바쁠때는 너무 정신없어서 실수가 많지만 기본적으로 맛과 친절이 높은가게,4.5
부탄츄 신촌점,너무 맛있어욥...,5
부탄츄 신촌점,맛있어요! 양도 많고 면이랑 밥도 무료 추가되요!! 너무 좋아요~~ #신촌 #라멘맛집,5
부탄츄 신촌점,라멘집,4
부탄츄 신촌점,양 진짜 많아여 ! 국물이 진국 ㅜㅜ,4
부탄츄 신촌점,#가끔생각나는라멘 #신촌라멘집,4
부탄츄 신촌점,너무 늦은 시간에 방문해서 숙주가 다 떨어진 걸 알고 제돈 주고 먹긴 했지만... 숙주때문인지.. 맛이 예전같지 않더라구요... 맛이 변한 건지 숙주 때문인지 제 입맛이 변한 건지는 모르겠지만 전반적으로 맛이 아쉬웠습니다...,2.5
부탄츄 신촌점,양이 엄청남...👍,5
부탄츄 신촌점,개죤맛 건대 부탄츄보다 차슈도 많이줌,5
부탄츄 신촌점,국물 진하고 면 좋ㄱ리필도 다되요~,5
부탄츄 신촌점,맛있어요,4.5
부탄츄 신촌점,양많고 좋아유,4.5
부탄츄 신촌점,양도 많고 푸짐했어요:) 다들 친절하셔서 맛있게 식사하고왔습니다,5
부탄츄 신촌점,맛과 양 모두 대만족,5
부탄츄 신촌점,맛 양 가격 굳,4.5
부탄츄 신촌점,라멘이 먹 고 싶을때 자주가는곳,3.5
부탄츄 신촌점,츠케멘 괜찮네요!,3
부탄츄 신촌점,오우,4.5
부탄츄 신촌점,좀 느끼함 담엔 좀 담백하게 시켜야 할듯 양은 많아요 가성비는 좋음,4
부탄츄 신촌점,좋아요,4.5
부탄츄 신촌점,좋아요,5
부탄츄 신촌점,맛있어요,5
부탄츄 신촌점,좋아요,4
부탄츄 신촌점,한정메뉴가 좋아요,5
부탄츄 신촌점,히오시마 츠케면이에요. 한국사를 입에 좋은 매운맛입니다.,4
부탄츄 신촌점,직원들 친절했지만 맛이 개인 취향이 아니네요. 찐한 국물 좋아하시는 분은 방문해보시길 추천합니다.,2
부탄츄 신촌점,"육수가 정말 진하게 특징이라고 하던데,, 돼지냄새가 살짝 나고 저랑은 안 맞더라구요ㅜㅜ",2.5
부탄츄 신촌점,라멘과 교자 맛있어요,4.5
부탄츄 신촌점,제입맛엔 모르겠어요.. 호불호가 갈리것 같아요..,3
부탄츄 신촌점,라멘 맛집,5
부탄츄 신촌점,신촌하면 부탄츄 꼭드세여,5
부탄츄 신촌점,맛있어요 웨이팅도 좀 있는거 같더라고요,4.5
부탄츄 신촌점,한정 매운 츠케멘을 먹었는데 생각보다 엄청 맛있네요 다음에 또 했으면 좋겠습니다,5
부탄츄 신촌점,좋아여,4
부탄츄 신촌점,"느끼해요,......",3.5
부탄츄 신촌점,정말 본토맛일까? 아이랑 같이 다녀왔는데 짰어요 .단무지도 생각나고...,2
부탄츄 신촌점,외국인알바분 엄청 친절했어요 한정메뉴 츠케멘은 제 스탈은 아니었지만.. 그냥 라멘은 맛있었어요 김치가있는데 단무지도 주면 좋을것같아요,3.5
부탄츄 신촌점,오랫동안 이용하고 있는데 변함없는 맛과 리필서비스로 만족스러워요,5
부탄츄 신촌점,진한 돈코츠 국물과 여름 한정 츠케멘 극호. 세트 구성이 좋고 어느지점을 가도 괜찮은 맛을 내줍니다. 매장에 돼지냄새가 약간 배어있으니 예민한 분들은 참고하세요,4.5
부탄츄 신촌점,ㅂ믿먹,3.5
부탄츄 신촌점,돼지고기 잡내? 육수때문에 온가게에 그 냄새가 나지만 이상하진 않아요,5
부탄츄 신촌점,줄 많이 서있어서 궁금해서 가봤어요. 친절하고 활기차요. 라멘도 맛있지만 좀 느끼해요,5
부탄츄 신촌점,오랜만에갔더니...맛없어짐,3.5
부탄츄 신촌점,숙주 추가의 매력,4
부탄츄 신촌점,맛있어용 ~~! 음식이 좀 늦게 나와서 슬펐어요 ㅠㅠ 양도 많고 맛나용,4
부탄츄 신촌점,일본온 분위기! 친절하고 맛있고 좋아요,4
부탄츄 신촌점,부탄츄 라멘 진짜 맛있죠ㅠ,5
부탄츄 신촌점,굿,4
부탄츄 신촌점,학교다닐때 엄청 많이왔어요 간만에 방문했는데 좋아요.. 주문 밀리면 음식이 좀 늦긴 한듯 타이밍 맞춰서 방문하시요.. 최애 라멘집이었믄데.. 아 타마고 또 먹고싶네.... 숙주 많이!!!! 맛있어요 국물 진하고 좋아요 젤 진한거 드시길,4
부탄츄 신촌점,너무 친절하시고 맛있어요,5
부탄츄 신촌점,좋아요,5
